0,0,0
160,153,146
79,109,68
66,95,182
16,27,106
158,104,89
194,200,57
152,150,186
118,190,118
22,224,163
252,193,90
100,34,210
98,155,12
131,38,29
189,115,96
26,154,201
182,53,19
122,176,107
207,152,118
235,131,54
215,230,219
19,174,49
165,3,117
186,160,199
231,152,111
93,156,238
39,133,160
53,44,253
142,58,20
40,83,207
162,28,108
224,249,209
100,117,70
227,95,189
152,119,240
201,140,171
124,58,116
251,202,235
215,156,22
97,181,7
21,16,226
60,108,126
145,54,90
186,95,17
198,45,252
152,175,221
147,33,121
47,193,210
78,33,195
251,181,249
34,179,66
240,188,75
85,161,46
244,139,27
68,11,57
138,149,178
102,30,45
33,107,43
164,126,20
197,143,227
7,224,26
119,4,143
113,114,107
46,100,104
59,196,110
129,68,76
163,168,189
42,130,79
241,254,194
53,67,247
99,115,227
139,71,169
79,253,144
75,27,10
61,132,31
214,74,236
99,87,184
1,85,201
210,106,108
207,191,247
32,26,187
7,49,13
28,253,84
239,172,241
126,240,168
125,112,229
210,162,195
136,93,22
45,21,21
207,57,188
115,233,9
245,107,140
50,76,237
223,241,214
5,245,90
200,201,116
29,19,28
166,95,216
170,184,1
131,86,178
62,30,163
156,212,238
227,36,145
211,68,12
141,215,45
185,53,164
15,93,141
7,14,48
70,141,125
122,18,212
193,91,26
70,205,235
131,239,241
126,203,70
73,83,60
154,48,170
94,164,83
146,68,167
2,139,165
210,137,240
243,157,46
127,98,236
30,150,117
38,187,251
40,150,23
158,138,171
43,94,246
43,175,77
200,64,42
200,147,40
241,106,59
152,247,20
120,76,223
160,206,242
252,51,77
156,200,156
135,140,85
209,95,99
44,178,101
184,148,29
2,196,193
212,119,145
179,159,107
239,22,173
55,118,182
94,36,173
108,111,155
158,147,103
96,141,141
89,204,93
188,45,191
71,46,6
13,69,162
235,246,221
60,221,142
152,121,174
61,254,99
102,16,235
178,36,82
24,122,186
71,242,196
12,36,252
217,171,153
191,149,240
46,102,153
136,132,215
3,231,192
134,124,58
211,238,208
36,100,15
116,139,4
218,98,112
177,16,106
212,98,41
254,88,26
196,60,9
39,35,188
146,229,232
119,142,219
141,197,27
59,60,225
9,76,26
29,41,239
1,196,131
72,99,98
184,74,196
240,207,11
12,99,119
7,96,196
36,95,50
11,195,218
76,133,40
249,78,33
214,153,24
181,93,41
60,204,162
70,72,211
220,107,114
242,98,158
35,93,90
215,240,99
